Codigo,Municipio,Localidad,HilerasMazorca,NumeroGranos,LongitudMazorca,DiametroMazorca,RatioDiamLongMazorca,PesoMazorca,DiamOlote,PesoSemillas,GranoLongitud,GranoAnchura,GranoGrosor,RatioAnchLongGrano,RatioGrosAnchGrano,Volumen100Granos,Peso100Granos,FormaMazorca,DisposicionHileras,TipoGrano,ColorGrano,ColorOlote,Coordenadas,Latitud,Longitud
mari2,San Bartolo Tutotepec,La Joya,12,36,18.4,7.22,0.3923913043,214.3,2.7,176.9,13.6,10.4,3.81,0.7647058824,0.3663461538,56,35,cónica-cilíndrica,irregular,dentado (C),blanco (A),blanco cremoso,"⁦20°24'14""N⁩ ⁦98°12'05""W⁩",20.403889,-98.201389
mari3,San Bartolo Tutotepec,La Joya,12,35,14.3,7.15,0.5,164.1,2.5,143.1,12.4,9.13,3.21,0.7362903226,0.3515881709,51,30.1,"cilíndrica,cónica-cilíndrica",en espiral,dentado (C),"azul (K),blanco cremoso",blanco cremoso,"⁦20°24'14""N⁩ ⁦98°12'05""W⁩",20.403889,-98.201389
vale1,San Bartolo Tutotepec,La Joya,8,50,20.5,4.32,0.2107317073,212.8,2.4,179.4,12.1,12.1,3.65,1,0.3016528926,71,46.6,cónica,irregular,harinoso (A),"azul oscuro (L),blanco cremoso,negro,rojo oscuro","café,rojo naranja","⁦20°24'14""N⁩ ⁦98°12'01""W⁩",20.403889,-98.200278
vale2,San Bartolo Tutotepec,La Joya,12,37,16.5,4.23,0.2563636364,178.6,2.1,154.3,11.6,9.15,3.32,0.7887931034,0.3628415301,48,35.2,cónica-cilíndrica,recta,semi-cristalino (E),"amarillo medio,amarillo naranja (F),rojo (I),rojo naranja (J)","amarillo medio,blanco cremoso","⁦20°24'14""N⁩ ⁦98°12'01""W⁩",20.403889,-98.200278
vale3,San Bartolo Tutotepec,La Joya,10,37,15.4,4.35,0.2824675325,169.1,2.2,147.4,11.7,10.7,3.46,0.9145299145,0.323364486,59,40.7,cilíndrica,recta,cristalino (F),"azul oscuro (L),blanco cremoso,café (E)","amarillo medio,blanco cremoso","⁦20°24'14""N⁩ ⁦98°12'01""W⁩",20.403889,-98.200278
less4,Acaxochitlán,Montemar,18,22,12.4,5.63,0.4540322581,158.5,2.5,146.7,15.9,8.81,4.82,0.5540880503,0.5471055619,68,36.7,cilíndrica,regular,harinoso (A),"azul oscuro (L),negro",blanco cremoso,"⁦20°08'51""N⁩ ⁦98°08'27""W⁩",20.1475,-98.140833
diana4,Acaxochitlán,Montemar,16,28,18.8,7.01,0.3728723404,339.5,2.5,309.1,16.3,8.56,4.38,0.5251533742,0.511682243,74,49.2,cónica-cilíndrica,irregular,cristalino (F),amarillo claro,blanco cremoso,"⁦20°08'51""N⁩ ⁦98°08'27""W⁩",20.1475,-98.140833
diana5,Acaxochitlán,Montemar,11,22,11.3,3.82,0.3380530973,66.6,6,52.5,10.8,7.04,4.34,0.6518518519,0.6164772727,32,23.2,cónica,irregular,"reventador (G),semi-cristalino (E)","azul oscuro (L),rojo (I)",blanco,"⁦20°08'51""N⁩ ⁦98°08'27""W⁩",20.1475,-98.140833
belen4,Acaxochitlán,Montemar,18,32,17.6,5.61,0.31875,264.1,2.1,236.1,17.5,8.48,4.48,0.4845714286,0.5283018868,64,80.8,cónica-cilíndrica,irregular,harinoso (A),negro,blanco,"⁦20°09'04""N⁩ ⁦98°08'42""W⁩",20.151111,-98.145
mari4,Acaxochitlán,Montemar,13,19,9.5,4.53,0.4768421053,81.8,1.49,75.2,15.5,7.7,4.26,0.4967741935,0.5532467532,36,35.4,cónica,irregular,semi-dentado (D),"rojo (I),rojo naranja (J)",rojo naranja,"⁦20°09'04""N⁩ ⁦98°08'42""W⁩",20.151111,-98.145
mari5,Acaxochitlán,Montemar,9,15,9.22,3.56,0.3861171367,44.7,1.42,37.6,11.4,8.74,4.87,0.7666666667,0.557208238,33,33.2,cónica,irregular,reventador (G),rojo naranja (J),naranja,"⁦20°09'04""N⁩ ⁦98°08'42""W⁩",20.151111,-98.145
vale4,Acaxochitlán,Montemar,10,32,16.1,4.38,0.2720496894,180.5,1.97,166.2,13.4,9.67,5.23,0.721641791,0.5408479835,78,48.5,cónica-cilíndrica,irregular,ceroso,"azul (K),blanco cremoso,rojo naranja (J)","blanco,rojo","⁦20°08'51""N⁩ ⁦98°08'32""W⁩",20.1475,-98.142222
marco1,Acaxochitlán,Montemar,14,39,22.2,4.71,0.2121621622,301.5,2.32,271.8,15.6,9.05,4.94,0.5801282051,0.5458563536,84,56.4,cónica-cilíndrica,regular,harinoso (A),blanco (A),blanco,"⁦20°08'51""N⁩ ⁦98°08'32""W⁩",20.1475,-98.142222
